country,continent,cases,todayCases,deaths,todayDeaths,recovered,active,critical,tests,population,casesPerOneMillion,deathsPerOneMillion,updated,event_ts,updated_ts,cases_per_million,deaths_per_million,tests_per_thousand,ingest_time,source_system,event_date
Cameroon,Africa,125379,0,1974,0,123280,125,0,1751794,27911548,4492.0,71.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,4492.01,70.72,62.76,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Madagascar,Africa,68491,5,1426,0,66862,198,0,531348,29178077,2347.0,49.0,1755946217305,2025-08-23 18:50:17,2025-08-23 18:50:17,2347.34,48.87,18.21,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Anguilla,North America,3905,1,12,0,0,3892,0,51382,15230,256336.0,788.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,256401.84,787.92,3373.74,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Ecuador,South America,1070198,10,36043,0,1034145,0,0,3082415,18113361,59083.0,1990.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,59083.35,1989.86,170.17,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Papua New Guinea,Australia-Oceania,46870,6,670,0,46168,26,0,249149,9292169,5043.0,72.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,5044.03,72.1,26.81,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Zimbabwe,Africa,266361,2,5740,0,258888,1731,12,2525765,15331428,17373.0,374.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,17373.53,374.39,164.74,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Azerbaijan,Asia,835240,6,10400,0,824089,745,0,7748051,10300205,81089.0,1010.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,81089.65,1009.69,752.22,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Central African Republic,Africa,15440,0,113,0,15200,127,2,81294,5016678,3078.0,23.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,3077.73,22.52,16.2,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Benin,Africa,28042,6,163,0,27847,26,0,604315,12784726,2193.0,13.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,2193.4,12.75,47.27,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Syrian Arab Republic,Asia,57753,10,3165,0,54578,0,0,146277,19364809,2982.0,163.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,2982.37,163.44,7.55,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Channel Islands,Europe,101717,0,228,0,101321,168,0,1252808,176463,576421.0,1292.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,576421.12,1292.06,7099.55,2025-08-23 18:53:13.025,disease.sh,2025-08-23
Ethiopia,Africa,501211,54,7574,0,488171,5412,0,5565399,120812698,4148.0,63.0,1755946217304,2025-08-23 18:50:17,2025-08-23 18:50:17,4148.66,62.69,46.07,2025-08-23 18:53:13.025,disease.sh,2025-08-23
